text,sentiment
im feeling rather rotten so im not very ambitious right now,sadness
im updating my blog because i feel shitty,sadness
i never make her separate from me because i don t ever want her to feel like i m ashamed with her,sadness
i left with my bouquet of red and yellow tulips under my arm feeling slightly more optimistic than when i arrived,joy
i was feeling a little vain when i did this one,sadness
i cant walk into a shop anywhere where i do not feel uncomfortable,fear
i felt anger when at the end of a telephone call,anger
i explain why i clung to a relationship with a boy who was in many ways immature and uncommitted despite the excitement i should have been feeling for getting accepted into the masters program at the university of virginia,joy
i like to have the same breathless feeling as a reader eager to see what will happen next,joy
i jest i feel grumpy tired and pre menstrual which i probably am but then again its only been a week and im about as fit as a walrus on vacation for the summer,anger
i don t feel particularly agitated,fear
i feel beautifully emotional knowing that these women of whom i knew just a handful were holding me and my baba on our journey,sadness
i pay attention it deepens into a feeling of being invaded and helpless,fear
i just feel extremely comfortable with the group of people that i dont even need to hide myself,joy
i find myself in the odd position of feeling supportive of,love
i was feeling as heartbroken as im sure katniss was,sadness
i feel a little mellow today,joy
i feel like my only role now would be to tear your sails with my pessimism and discontent,sadness
i feel just bcoz a fight we get mad to each other n u wanna make a publicity n let the world knows about our fight,anger
i feel like reds and purples are just so rich and kind of perfect,joy
